model_name,model_family,modality,body_region,patient_population,age_groups,clinical_problem,task,model_description,release_status,release_evidence,code_url,journal,year,citations,citations_per_year,rcr,fwci,nih_percentile,doi,url,title,first_author,study_design,dataset_size,data_source,validation,headline_result,pmid,record_id,source,is_preprint,confidence,overridden_fields,extractor_model,prompt_version,extracted_on
,machine learning classifier using T1-weighted and diffusion tensor imaging features,MRI,brain,"IMAGEN dataset adolescents, n=555 (52.61% female), no binge-drinking experience at baseline age 14",adolescent,predicting future binge-drinking risk from adolescent brain structure,outcome prediction,A machine learning model uses T1-weighted structural and diffusion tensor MRI features acquired at age 14 to predict future (age 22) binge-drinking behavior; counterbalancing with oversampling tests which psychometric variables explain the prediction.,unclear,,,NeuroImage. Clinical,2023,3,1.0,0.53,,30.4,10.1016/j.nicl.2023.103520,https://doi.org/10.1016/j.nicl.2023.103520,Uncontrolled eating and sensation-seeking partially explain the prediction of future binge drinking from adolescent brain structure.,Rane RP,prospective longitudinal multi-site cohort machine-learning prediction study (IMAGEN),n=555 adolescents (IMAGEN dataset),multi center,internal only,prediction accuracy above 70%; sensation-seeking and uncontrolled eating each explained ~14% of prediction accuracy,37837892,37837892,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,,MRI,brain (pediatric brain tumors),pediatric neuro-oncology patients (review),pediatric (unspecified),integration of radiomic and pathomic AI models to guide precision medicine in pediatric brain tumors,outcome prediction,"Narrative review of AI models integrating radiomic (imaging) and pathomic (histologic) data for predictive modeling in pediatric brain tumors, discussing challenges in multi-modal, multi-institutional data aggregation.",unclear,,,Neuro-oncology advances,2023,6,2.0,0.94,,48.0,10.1093/noajnl/vdad119,https://doi.org/10.1093/noajnl/vdad119,Radio-pathomic approaches in pediatric neuro-oncology: Opportunities and challenges.,Familiar AM,narrative review,,not stated,none / not stated,,37841693,37841693,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,hybrid convolutional neural network (trained on synthetic data),other,"brain (preterm infant, near-infrared optical tomography)",preterm infants at risk of hypoxic-ischemic brain injury (phantom-based evaluation),neonate,image reconstruction for near-infrared optical tomography to detect low brain oxygenation in preterm infants,reconstruction / imputation,"Input is near-infrared optical tomography (NIROT) measurement data; a hybrid CNN trained on synthetic in-silico data reconstructs tomographic brain images, with generalization tested on phantoms with more varied surface geometry, inclusion shapes and detector arrangements than the training data.",unclear,,,Advances in experimental medicine and biology,2023,0,0.0,0.0,,0.0,10.1007/978-3-031-42003-0_25,https://doi.org/10.1007/978-3-031-42003-0_25,Image Reconstruction Using Deep Learning for Near-Infrared Optical Tomography: Generalization Assessment.,Ackermann M,technical development / phantom validation study,"phantom measurements (synthetic training data, no patient count stated)",not stated,internal only,"Substantial gains in reconstruction speed, localization accuracy and image quality even under varied measurement conditions (no single quantitative figure given)",37845455,37845455,pubmed,False,low,,claude-code sonnet (worklist),1,2026-09-10
,"machine learning (various, including CNN for CT and photograph classification)",CT; other,skull/craniofacial,children with craniosynostosis (reviewed literature),infant; child,"How can AI assist in diagnosing craniosynostosis subtypes, planning cranial vault remodeling surgery, and predicting outcomes, potentially reducing the need for CT scanning?",detection / diagnosis,"Narrative review of machine learning models that classify craniosynostosis subtypes from photographs or CT scans, and AI-assisted virtual surgical planning tools for cranial vault remodeling.",unclear,,,Cureus,2023,7,2.33,1.55,,65.5,10.7759/cureus.45318,https://doi.org/10.7759/cureus.45318,Artificial Intelligence Applications in Diagnosing and Managing Non-syndromic Craniosynostosis: A Comprehensive Review.,Qamar A,narrative review,,not stated,none / not stated,,37846266,37846266,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,deep segmentation network with machine learning biometry pipeline,MRI,fetal brain,"268 MRI volumes (5,360 images) from normal fetuses",fetal,automating linear biometric measurements of the fetal brain on MRI,segmentation; measurement / quantification,"Fetal brain MRI is segmented by a deep network into cerebrum, cerebellum, and left/right lateral ventricles; the measurement plane is then automatically determined and biometric parameters (biparietal diameter, transverse cerebellar diameter, atrial diameters) are calculated per clinical guidelines and compared to manual measurements.",unclear,,,Scientific reports,2023,18,6.0,3.86,,88.6,10.1038/s41598-023-43867-4,https://doi.org/10.1038/s41598-023-43867-4,Automatic biometry of fetal brain MRIs using deep and machine learning techniques.,She J,retrospective single-center technical development and agreement study,"268 volumes (5,360 images) from normal fetuses",single center,internal only,"correlation coefficients: CBPD 0.977, TCD 0.990, LAD 0.817, RAD 0.719",37857681,37857681,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,"support vector machine, K-nearest neighbors, ensemble",MRI,brain,"79 adolescents with suicide risk, 79 matched typically developing adolescents",adolescent,identifying structural brain differences that distinguish adolescents at suicide risk from typically developing adolescents,detection / diagnosis,"Machine learning classifiers (SVM, K-nearest neighbors, ensemble) use region-specific cortical/subcortical volumes from structural MRI to classify adolescents as at suicide risk versus typically developing.",unclear,,,Discover mental health,2023,11,3.67,1.95,,72.7,10.1007/s44192-023-00033-6,https://doi.org/10.1007/s44192-023-00033-6,Machine learning based identification of structural brain alterations underlying suicide risk in adolescents.,Bajaj S,retrospective case-control classifier development study,"158 adolescents (79 suicide risk, 79 typically developing)",not stated,internal only,"accuracy 74.79%, sensitivity 75.90%, specificity 74.07%, AUC 87.18% (SVM classifier)",37861863,37861863,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
DenseNet169,deep convolutional network fine-tuned by transfer learning,ultrasound,fetus,"fetal ultrasound images from two datasets from different regions, recorded on different machines",fetal,"identifying which fetal organ an ultrasound image shows - brain, abdomen, femur, thorax, or the maternal cervix - which depends on fetal position, maternal habitus and technique and needs a trained interpreter",detection / diagnosis,"Standard architecture on a standard task; the design choice worth noting is training across two regional datasets acquired on different machines, which is what the near-perfect test accuracy has to be read against. Accuracy of 99.84% on a five-class organ recognition problem suggests the classes are well separated rather than that the problem is solved clinically - organ recognition is the easy half of what a screening scan requires.",unclear,,,Scientific reports,2023,21,7.0,4.59,,91.2,10.1038/s41598-023-44689-0,https://doi.org/10.1038/s41598-023-44689-0,Transfer learning for accurate fetal organ classification from ultrasound images: a potential tool for maternal healthcare providers.,Ghabri H,retrospective model development,"two regional datasets, sizes not stated",multi center,internal only,"accuracy 99.84%, F1 99.84% and AUC 98.95% on the held-out test set",37863944,37863944,pubmed,False,medium,,"claude-code (opus-5, manual)",1,2026-09-09
,CNN,x-ray / radiography,hand and wrist,"1,678 radiographs from 866 children (training/validation); 150 radiographs and final height data for 100 adults (test set simulation)",child; adolescent,automatically estimating bone age and predicting final adult height in children using hand radiographs,measurement / quantification; outcome prediction,A CNN-based deep learning program estimates bone age from hand radiographs and predicts final adult height in Korean children and adolescents.,unclear,,,Yonsei medical journal,2023,11,3.67,1.65,,67.5,10.3349/ymj.2023.0244,https://doi.org/10.3349/ymj.2023.0244,Bone Age Estimation and Prediction of Final Adult Height Using Deep Learning.,Suh J,retrospective model development and validation study,"1,678 radiographs from 866 children",not stated,internal only,"bone age mean absolute error 0.59 years, RMSE 0.55 years, correlation r=0.99; final height prediction MAE 4.62 cm",37880849,37880849,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,support vector machine,ultrasound,pelvis/adnexa,"41 female pediatric patients (21 adnexal torsion, 20 acute appendicitis), mean age ~10 years",child,distinguishing pediatric adnexal torsion from acute appendicitis using clinical presentation and ultrasound findings,detection / diagnosis,"Takes clinical presentation, pain duration, white blood cell counts, and ultrasound findings as input features to a support vector machine classifier, outputting a prediction distinguishing adnexal torsion from acute appendicitis.",unclear,,,"Children (Basel, Switzerland)",2023,5,1.67,1.03,,51.3,10.3390/children10101612,https://doi.org/10.3390/children10101612,Enhancing Pediatric Adnexal Torsion Diagnosis: Prediction Method Utilizing Machine Learning Techniques.,Turki A,retrospective case-control study,41 patients,single center,internal only,Predictive accuracy 87-97% across SVM kernel models,37892275,37892275,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,"convolutional neural network with convolutional, pooling, batch normalization, dropout and fully connected layers, applied to 2D echo planar samples",MRI,brain,"22 176 two-dimensional echo planar samples from 126 subjects (56 with autism, 70 controls) from the ABIDE I repository, with 17 740 samples used for training",child; adolescent,"early detection of autism spectrum disorder in children, where prompt diagnosis enables targeted intervention",detection / diagnosis,"Reports accuracy above 99% on ABIDE data, far above what other groups obtain from the same repository - and the likely reason is visible in the numbers: 22 176 slice samples come from only 126 subjects, so slices from the same brain can appear in both training and test unless the split is at subject level, which the abstract does not state. Recorded here as a pediatric imaging model, with that caveat attached to the headline figure.",unclear,,,"Children (Basel, Switzerland)",2023,21,7.0,3.62,,87.6,10.3390/children10101654,https://doi.org/10.3390/children10101654,Detection of ASD Children through Deep-Learning Application of fMRI.,Feng M,retrospective model development on a public dataset,"126 subjects, 22 176 slice samples",public dataset,internal only,"reported accuracy 99.39%, recall 98.80%, precision 99.85% and F1 99.32% on ABIDE I",37892317,37892317,pubmed,False,medium,,"claude-code (opus-5, manual)",1,2026-09-09
,"AI classifier (unspecified type, three models compared)",ultrasound,"fetal (subcutaneous fat, femur/humerus)",fetuses of women with well-controlled diabetes vs healthy controls,fetal,"assess impact of maternal diabetes on fetal subcutaneous fat mass, independent of growth, using 3D ultrasound and AI classification",outcome prediction,"Three artificial intelligence classifier models trained on 3D ultrasound-derived fetal subcutaneous fat measurements combined with gestational age, fetal weight, abdominal circumference, and maternal BMI to detect impact of maternal diabetes on fetal fat mass.",unclear,,,Journal of clinical medicine,2023,2,0.67,0.27,,16.6,10.3390/jcm12206485,https://doi.org/10.3390/jcm12206485,AI-Enhanced Analysis Reveals Impact of Maternal Diabetes on Subcutaneous Fat Mass in Fetuses without Growth Alterations.,Borboa-Olivares H,retrospective/prospective cohort study with AI classifier development and validation,,single center,internal only,"detection rate 70% at 10% false positive rate, PPV 82%",37892622,37892622,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,graph convolutional neural network (deep learning) with a custom loss function,MRI,brain,"children longitudinally scanned at 1, 2, 4, and 6 years of age (N=360), compared with adults (N=89)",infant; child; mixed pediatric and adult,predicting functional brain connectivity from structural connectivity in early childhood,reconstruction / imputation,"A graph convolutional neural network with a novel loss function is trained to predict an individual's functional brain connectivity from their structural (white matter) connectivity, using longitudinal MRI from children scanned at ages 1, 2, 4 and 6 and a comparison adult sample. It improved on existing models at predicting functional connectivity from structural data.",unclear,,,Developmental cognitive neuroscience,2023,13,4.33,1.73,,69.1,10.1016/j.dcn.2023.101314,https://doi.org/10.1016/j.dcn.2023.101314,Structural and functional connectome relationships in early childhood.,Hong Y,longitudinal technical development study,"360 children (longitudinal), 89 adults",not stated,internal only,Deep learning model improved prediction of individual functional connectivity from structural connectivity compared to existing models,37898019,37898019,pubmed,False,medium,,claude-sonnet-5 (claude code),1,2026-09-10
,,x-ray / radiography,hand and wrist,"not stated (editorial, no abstract)",child; adolescent,development of a Korean-population-specific standard bone age model,measurement / quantification,Editorial framing the development of a new Korean standard bone age model as an example paradigm for AI-powered pediatric imaging. No abstract text was provided describing the underlying model or results.,unclear,,,Korean journal of radiology,2023,0,0.0,0.0,,0.0,10.3348/kjr.2023.0895,https://doi.org/10.3348/kjr.2023.0895,Development of a New Korean Standard Bone Age Model: A Paradigm for AI-Powered Pediatric Imaging.,Cheon JE,editorial,,not stated,none / not stated,,37899518,37899518,pubmed,False,low,,claude-code sonnet (worklist),1,2026-09-10
,"convolutional neural network trained on chronological age as the label, compared against a commercial Greulich-Pyle-trained model",x-ray / radiography,hand,"21 036 hand radiographs of Korean children and adolescents without bone-development-affecting conditions obtained 1998-2019 (median age 9 years), with two external test sets of 343 and 321 healthy Korean children",child; adolescent,whether bone age in a given population should be predicted against the Greulich-Pyle atlas or learned directly from the chronological ages of healthy children in that population,measurement / quantification,"A direct head-to-head on the question the bone age literature keeps circling: population-specific chronological age labels against the mid-century American atlas, tested at two independent institutions. The locally trained model won on every metric at both sites. That is an argument for retraining rather than importing bone age models, and a caution about deploying an atlas-based commercial product outside the population it encodes - though the comparison is in healthy children, not the children a bone age is usually ordered for.",commercial,"compared against VUNO Med-BoneAge version 1.1, a commercial Greulich-Pyle-based model",,Korean journal of radiology,2023,20,6.67,3.7,,87.9,10.3348/kjr.2023.0092,https://doi.org/10.3348/kjr.2023.0092,Bone Age Assessment Using Artificial Intelligence in Korean Pediatric Population: A Comparison of Deep-Learning Models Trained With Healthy Chronological and Greulich-Pyle Ages as Labels.,Kim PH,retrospective model development with external validation,21 036 training radiographs; 664 external test cases at two institutions,multi center,external / multi-center,"RMSE 11.2 versus 13.8 months (P = 0.004) and mean absolute error 8.2 versus 10.5 months (P = 0.002) against the commercial Greulich-Pyle model at institution 1, with similar advantages at institution 2",37899524,37899524,pubmed,False,high,,"claude-code (opus-5, manual)",1,2026-09-09
,deep learning (supervised and semi-supervised segmentation networks),MRI,"heart (whole-heart, great vessels)",99 patients with various types of congenital heart disease,mixed pediatric and adult,Can automated deep learning segmentation of 3D cine cardiac MRI accurately delineate heart chambers and great vessels in patients with congenital heart disease to streamline volumetric analysis?,segmentation; measurement / quantification,"Takes 3D cine cardiac MRI as input; supervised and semi-supervised deep learning models output whole-heart segmentation of atria, ventricles, aorta, pulmonary arteries, and venae cavae, used to compute chamber volumes.",unclear,,,Frontiers in cardiovascular medicine,2023,7,2.33,1.08,,52.9,10.3389/fcvm.2023.1167500,https://doi.org/10.3389/fcvm.2023.1167500,Automated segmentation of 3D cine cardiovascular magnetic resonance imaging.,Tayebi Arasteh S,retrospective study,99 patients,not stated,internal only,Semi-supervised method Dice 83.23+/-16.76% vs. supervised 77.98+/-19.64% (P<=0.001); volume bias <=5.2 mL vs. <=10.1 mL,37904806,37904806,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,random forest,MRI,"brain (CSF volumes, white matter tracts)",Adolescent patients with congenital heart disease,adolescent,"Predicting executive-function outcomes (cognitive flexibility, working memory, inhibition) in adolescents with congenital heart disease from brain MRI/DTI and clinical variables",outcome prediction,"Random forest regression models that take clinical, perioperative, diffusion MRI (white-matter tract) and structural MRI volumetric features as input and predict subdomains of executive function (mental flexibility, working memory, inhibition).",unreleased,"preprint, not yet published",,medRxiv : the preprint server for health sciences,2023,1,0.33,0.2,,12.7,10.1101/2023.10.16.23297055,https://doi.org/10.1101/2023.10.16.23297055,Cerebral Spinal Fluid Volumetrics and Paralimbic Predictors of Executive Dysfunction in Congenital Heart Disease: A Machine Learning Approach Informing Mechanistic Insights.,Lee VK,"Retrospective machine-learning cohort study (preprint, medRxiv)",,not stated,internal only,,37905005,37905005,pubmed,True,low,,claude-code sonnet (worklist),1,2026-09-10
,deep learning (end-to-end automation models),ultrasound,"fetal (head, abdomen, femur) and amniotic fluid","172,293 Moroccan fetal ultrasound images for training; prospective test on 172 pregnant people at four healthcare centers",fetal,automating fetal biometry and amniotic fluid volume measurement during prenatal ultrasound screening,measurement / quantification,"Takes fetal ultrasound video clips as input and outputs automated fetal biometry measurements (head, abdomen, femur) and amniotic fluid volume, using deep learning models trained end-to-end.",unclear,,,Nature communications,2023,16,5.33,3.02,,84.0,10.1038/s41467-023-42438-5,https://doi.org/10.1038/s41467-023-42438-5,Fetal biometry and amniotic fluid volume assessment end-to-end automation using Deep Learning.,Slimani S,retrospective model development with prospective multi-center external validation,"172,293 training images; prospective test set of 172 pregnant people (four centers)",multi center,prospective,95% limits of agreement narrower than reported inter- and intra-observer variability among expert sonographers for all parameters,37923713,37923713,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,"CNN (EfficientNetV2-S, ResNet-18, ResNet-34)",CT,thorax and abdomen,"1009-1111 pediatric CT localizers (training), 116-127 (validation), 203-225 (test); plus adult cohort added to training",pediatric (unspecified),estimating patient body height and weight from CT localizer (scout) images in pediatric patients,measurement / quantification,"Takes CT localizer (scout) images as input and outputs predicted body height and weight using convolutional neural networks (EfficientNetV2-S, ResNet variants).",unclear,,,Scientific reports,2023,5,1.67,1.31,,59.7,10.1038/s41598-023-46080-5,https://doi.org/10.1038/s41598-023-46080-5,Determining body height and weight from thoracic and abdominal CT localizers in pediatric and young adult patients using deep learning.,Demircioğlu A,retrospective single-center model development with temporal validation,1009 (height)/1111 (weight) training localizers; independent test 203/225,single center,internal only,"MAE 5.58 cm (height), 4.25 kg (weight) in independent test cohort",37923758,37923758,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
BabyNet++,transformer (Residual Transformer Module with Dynamic Affine Feature Map Transform),ultrasound,fetal (biometry),194 patients; 582 2D fetal ultrasound videos acquired less than 24 hours before delivery,fetal,Can automated analysis of fetal ultrasound video combined with clinical data accurately predict birth weight shortly before delivery to guide delivery timing and mode?,measurement / quantification; outcome prediction,Takes fetal ultrasound video scans (2D+t) and tabular clinical data as input; a transformer-based model outputs a predicted fetal birth weight.,unclear,,,Computers in biology and medicine,2023,7,2.33,1.78,,69.8,10.1016/j.compbiomed.2023.107602,https://doi.org/10.1016/j.compbiomed.2023.107602,BabyNet＋＋: Fetal birth weight prediction using biometry multimodal data acquired less than 24 hours before delivery.,Płotka S,development and evaluation study on a clinical dataset,194 patients; 582 ultrasound videos,not stated,internal only,"Prediction accuracy comparable to human experts, outperforming state-of-the-art automatic methods",37925906,37925906,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,radiomics + support vector machine,ultrasound,kidney,90 patients ages 0-8 years (592 images),infant; child,Distinguishing high-grade from low-grade hydronephrosis in children using ultrasound,detection / diagnosis,A radiomic-based algorithm combining computerized texture analysis with a support vector machine classifier is trained on renal ultrasound images to grade hydronephrosis severity as high or low.,unclear,,,Investigative and clinical urology,2023,12,4.0,2.41,,78.7,10.4111/icu.20230170,https://doi.org/10.4111/icu.20230170,Pilot study of machine learning in the task of distinguishing high and low-grade pediatric hydronephrosis on ultrasound.,Sloan M,retrospective single-center pilot study,"90 patients, 592 images",single center,internal only,AUC 0.86,37932570,37932570,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,,MRI,brain,not applicable (review),child,"Which deep learning architectures, especially vision and brain transformers, are best suited to diagnosing autism spectrum disorder from MRI, and what biomarkers do they rely on?",detection / diagnosis; foundation model / vision-language,"Comprehensive review of brain and vision transformer models (e.g., ViT, Swin, METAFormer, BolT, BrainFormer) applied to MRI-based autism spectrum disorder diagnosis and classification in children, covering CNN- and transformer-based architectures and recommending a systematic transformer-based diagnostic architecture.",unclear,,,Computers in biology and medicine,2023,14,4.67,1.56,,65.6,10.1016/j.compbiomed.2023.107667,https://doi.org/10.1016/j.compbiomed.2023.107667,Do it the transformer way: A comprehensive review of brain and vision transformers for autism spectrum disorder diagnosis and classification.,Alharthi AG,narrative review,,not stated,none / not stated,,37939407,37939407,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,Graph Isomorphism Network (deep learning),MRI,brain,198 adolescents and young adults with major depressive episode,adolescent; mixed pediatric and adult,predicting treatment response in major depressive episode,outcome prediction,"Baseline resting-state functional connectivity from fMRI is fed into a Graph Isomorphism Network, a deep learning model, to predict whether an individual adolescent or young adult with a major depressive episode will respond to treatment. The most discriminating regions were in paralimbic and subcortical brain areas.",unclear,,,NeuroImage. Clinical,2023,3,1.0,0.52,,30.0,10.1016/j.nicl.2023.103534,https://doi.org/10.1016/j.nicl.2023.103534,Predicting treatment response in adolescents and young adults with major depressive episodes from fMRI using graph isomorphism network.,Duan J,retrospective outcome-prediction study,198 adolescents and young adults,not stated,internal only,Predicted 79.8% of responders and 67.4% of non-responders (overall accuracy 74.24%),37939442,37939442,pubmed,False,medium,,claude-sonnet-5 (claude code),1,2026-09-10
iTMT,deep learning pipeline,MRI,head (temporalis muscle),"23,876 brain MRIs of healthy subjects ages 4-35, plus validation in children with brain tumors",child; adolescent; mixed pediatric and adult,Automated measurement of temporalis muscle thickness (a marker of lean muscle mass) on brain MRI to generate normal growth charts from childhood through adulthood.,measurement / quantification,"An automated deep learning pipeline measures temporalis muscle thickness (iTMT) on routine brain MRI, generating sex-specific normal growth charts with percentiles across ages 4-35.",unclear,,,Nature communications,2023,17,5.67,2.08,,74.6,10.1038/s41467-023-42501-1,https://doi.org/10.1038/s41467-023-42501-1,Automated temporalis muscle quantification and growth charts for children through adulthood.,Zapaishchykova A,retrospective cohort study with automated deep learning pipeline and multi-group validation,"23,876 MRIs",not stated,external / multi-center,,37945573,37945573,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,,multiple,neuroblastoma (abdomen/whole body),"Children with neuroblastoma (narrative review, no specific cohort)",child,"Reviewing how radiomics and deep learning can improve diagnosis and prognosis of pediatric neuroblastoma using CT, MRI, and PET imaging",other,"Narrative review summarizing radiomics feature extraction and deep learning approaches applied to CT, MRI, and PET imaging for neuroblastoma diagnosis and prognosis",unclear,,,Pediatric radiology,2023,13,4.33,1.26,,58.3,10.1007/s00247-023-05792-6,https://doi.org/10.1007/s00247-023-05792-6,A narrative review of radiomics and deep learning advances in neuroblastoma: updates and challenges.,Wang H,narrative review,,not stated,none / not stated,,37945937,37945937,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
DAGI (Demographic Aware Graph-based Imputation),graph neural network (deep learning),MRI,brain (Freesurfer-derived regions of interest),"adolescents from the Adolescent Brain Cognitive Development (ABCD) study (N=3760, minimum age 12) and the NCANDA adolescent cohort (N=540)",adolescent,imputing missing structural brain MRI measurements across datasets,reconstruction / imputation,"A graph neural network models dependencies between structural MRI regions-of-interest measurements and predicts values missing from one public dataset (ABCD) using a model trained on a related dataset (NCANDA) that shares some of the same measurements. It also accounts for demographic differences such as sex, and the imputed measurements improved downstream sex-classification accuracy.",unclear,,,Predictive Intelligence in Medicine. PRIME (Workshop),2023,0,0.0,0.0,,0.0,10.1007/978-3-031-46005-0_15,https://doi.org/10.1007/978-3-031-46005-0_15,Imputing Brain Measurements Across Data Sets via Graph Neural Networks.,Wang Y,technical development study,ABCD N=3760; NCANDA N=540,public dataset,internal only,5-fold cross-validation on NCANDA showed imputed scores more accurate than linear regression and other deep learning models; improved sex-classification accuracy when added as features,37946742,37946742,pubmed,False,medium,,claude-sonnet-5 (claude code),1,2026-09-10
,unsupervised machine learning (InSpect component analysis),MRI,placenta,"78 normal pregnancies, gestational ages 15+5 to 38+4 weeks",fetal,"Can a combined diffusion-relaxation MRI and unsupervised machine learning pipeline non-invasively characterize distinct placental microenvironments across pregnancy, to develop imaging biomarkers for pregnancy complications?",other,"Takes combined T2*-diffusion MRI placental scans as input; unsupervised machine learning (InSpect) identifies and maps seven distinct placental microenvironments reflecting oxygenation, microstructure, and microcirculation.",unclear,,,Placenta,2023,7,2.33,1.38,,61.6,10.1016/j.placenta.2023.11.002,https://doi.org/10.1016/j.placenta.2023.11.002,Non-invasive mapping of human placenta microenvironments throughout pregnancy with diffusion-relaxation MRI.,Slator PJ,"prospective single-center cohort study, methods development",78 pregnancies,single center,internal only,Identified seven distinct placental microenvironments with trends across gestation (no single accuracy/AUC reported),37952367,37952367,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,"multiple ML models (LASSO, radial basis function network, multilayer perceptron, gradient-boosted decision tree; LASSO best)",x-ray / radiography,craniofacial skeleton,"59 Japanese children (27 boys, 32 girls) without prior orthodontic treatment, ages 6-12 at baseline",child,"predicting longitudinal craniofacial growth from earlier cephalometric radiographs in children, for orthodontic treatment planning",outcome prediction,"Input: coordinated skeletal landmark, linear, and angular parameters from lateral cephalometric radiographs (ages 6-12); output: predicted values of the same parameters at age 13.",unclear,,,"Diagnostics (Basel, Switzerland)",2023,10,3.33,3.59,,87.4,10.3390/diagnostics13213369,https://doi.org/10.3390/diagnostics13213369,Validation of Machine Learning Models for Craniofacial Growth Prediction.,Kim E,retrospective longitudinal model development and validation,"59 children (27 boys, 32 girls)",not stated,internal only,Best model (LASSO): prediction accuracy up to 97.87% (linear parameters) and 94.45% (angular parameters) at age 13,37958265,37958265,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,radiomics (logistic regression / radiomics model),MRI,brain (demyelinating lesions),"121 children with idiopathic inflammatory demyelinating disease (68 MOGAD, 53 non-MOGAD)",child,Distinguishing MOGAD from other idiopathic inflammatory demyelinating disease in children using multiparameter MRI radiomics,detection / diagnosis,"Radiomics models built from T1WI, T2WI, and FLAIR features of brain demyelinating lesions (individually and combined) to classify pediatric patients as MOGAD versus non-MOGAD, compared against a clinical logistic-regression model.",unclear,,,AJNR. American journal of neuroradiology,2023,1,0.33,0.2,,13.1,10.3174/ajnr.A8045,https://doi.org/10.3174/ajnr.A8045,Diagnostic Value of Multiparameter MRI-Based Radiomics in Pediatric Myelin Oligodendrocyte Glycoprotein Antibody-Associated Disorders.,Li T,Retrospective diagnostic model development and internal validation study,"121 children (68 MOGAD, 53 non-MOGAD)",not stated,internal only,"Compound radiomics model AUC 0.989 (training), 0.905 (testing)",37973182,37973182,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
Fracture Detection Using YOLOv8 App,YOLOv8 (convolutional neural network object detector),x-ray / radiography,wrist,children presenting with wrist trauma (public GRAZPEDWRI-DX pediatric wrist radiograph dataset),child; adolescent,detecting wrist fractures on trauma radiographs,detection / diagnosis,Pediatric wrist trauma radiographs go in; a YOLOv8 object-detection model outputs bounding boxes localizing fractures.,unclear,,,Scientific reports,2023,58,19.33,12.59,,98.3,10.1038/s41598-023-47460-7,https://doi.org/10.1038/s41598-023-47460-7,Fracture detection in pediatric wrist trauma X-ray images using YOLOv8 algorithm.,Ju RY,"retrospective model development using a public dataset, with an accompanying application prototype",GRAZPEDWRI-DX public pediatric wrist radiograph dataset,public dataset,internal only,"mAP50 0.638, higher than improved YOLOv7 (0.634) and original YOLOv8 (0.636)",37973984,37973984,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,instance segmentation + keypoint detection deep learning pipeline,x-ray / radiography,hip / pelvis,infants undergoing pelvic X-ray for DDH screening,infant,assessment of acetabular index angle for developmental dysplasia of the hip diagnosis in infants,measurement / quantification,"Input: pelvic X-ray images of infants; output: automated acetabular index angle measurement via a two-stage instance-segmentation and keypoint-detection pipeline, intended for integration into a mobile application.",unclear,,,Journal of imaging,2023,6,2.0,1.44,,63.0,10.3390/jimaging9110242,https://doi.org/10.3390/jimaging9110242,Assessing Acetabular Index Angle in Infants: A Deep Learning-Based Novel Approach.,Jan F,retrospective model development study,,not stated,internal only,average pixel error 2.862±2.392; angle error 2.402±1.963 degrees,37998088,37998088,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,,ultrasound,fetal (general),,fetal,"Reviewing machine learning methods (classification, detection, segmentation) applied to fetal ultrasound images for anomaly detection.",detection / diagnosis; segmentation,"Review of recent machine learning approaches for fetal ultrasound anomaly detection, covering classification, object recognition, and segmentation tasks.",unclear,,,"Biomimetics (Basel, Switzerland)",2023,17,5.67,3.52,,87.1,10.3390/biomimetics8070519,https://doi.org/10.3390/biomimetics8070519,Enhancing Fetal Anomaly Detection in Ultrasonography Images: A Review of Machine Learning-Based Approaches.,Yousefpour Shahrivar R,narrative review,,not stated,none / not stated,,37999160,37999160,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
